kp_code,job_title
1110,Голова Верховної Ради Автономної Республіки Крим
1110,Голова Верховної Ради України
1110,Голова постійної комісії Верховної Ради України
1110,Заступник голови Верховної Ради України
1110,Заступник голови постійної комісії Верховної Ради України
1110,Народний депутат Автономної Республіки Крим
1110,Народний депутат України
1110,Перший заступник голови Верховної Ради України
1110,Президент України
1120.1,Віце-прем'єр-міністр України
1120.1,Голова Державної пенітенціарної служби України
1120.1,Голова Державної служби автомобільних доріг України
1120.1,Голова Національного банку України
1120.1,Голова Національної поліції
1120.1,Голова Національної ради
1120.1,Голова Ради міністрів Автономної Республіки Крим
1120.1,Голова Служби безпеки України
1120.1,Голова Фонду державного майна України
1120.1,Голова агентства
1120.1,Голова державного комітету України
1120.1,Голова комітету України
1120.1,Голова правління Пенсійного фонду України
1120.1,Голова служби
1120.1,Голова інспекції
1120.1,Головний державний інспектор України з нагляду у сфері цивільного захисту
1120.1,Державний секретар
1120.1,Державний секретар України
1120.1,Директор Національного антикорупційного бюро України
1120.1,Заступник голови Національного банку України
1120.1,Заступник голови Національної поліції
1120.1,Заступник голови Національної ради
1120.1,Заступник голови Ради міністрів Автономної Республіки Крим
1120.1,Заступник голови Служби безпеки України
1120.1,Заступник голови Фонду державного майна України
1120.1,Заступник голови державного комітету України
1120.1,Заступник голови комітету України
1120.1,"Заступник керівника головного управління, іншого органу державної виконавчої влади, підвідомчого Кабінету Міністрів України"
1120.1,Заступник міністра України
1120.1,Керуючий справами Ради міністрів Автономної Республіки Крим
1120.1,Керівник Апарату Офісу Президента України
1120.1,Керівник Офісу Президента України
1120.1,Керівник відомства Автономної Республіки Крим
1120.1,"Керівник головного управління, іншого органу державної виконавчої влади, підвідомчого Кабінету Міністрів України"
1120.1,Керівник урядового органу державного управління
1120.1,Міністр Автономної Республіки Крим
1120.1,Міністр Кабінету Міністрів України
1120.1,Міністр України
1120.1,Перший віце-прем'єр-міністр України
1120.1,Перший заступник голови Національного банку України
1120.1,Перший заступник голови Національної поліції
1120.1,Перший заступник голови Національної ради
1120.1,Перший заступник голови Ради міністрів Автономної Республіки Крим
1120.1,Перший заступник голови Служби безпеки України
1120.1,Перший заступник голови Фонду державного майна України
1120.1,Перший заступник голови державного комітету України
1120.1,Перший заступник голови комітету України
1120.1,"Перший заступник керівника головного управління, іншого органу державної виконавчої влади, підвідомчого Кабінету Міністрів України"
1120.1,Перший заступник міністра України
1120.1,Прем'єр-міністр України
1120.1,Уповноважений Президента України з прав дитини
1120.1,Уповноважений з прав людини
1120.1,Уповноважений із захисту державної мови
1120.1,Урядовий уповноважений
1120.1,Урядовий уповноважений з прав осіб з інвалідністю
1120.2,Голова обласної (міської) державної адміністрації
1120.2,Голова районної державної адміністрації
1120.3,Посол
1120.3,Посол з особливих доручень
1120.3,Представник Міністерства закордонних справ - керівник дипломатичного агентства
1120.3,Представник постійний
1120.3,Спеціальний представник України з питань придністровського врегулювання
1120.4,Генеральний прокурор України
1120.4,Голова Апеляційного адміністративного суду
1120.4,Голова Апеляційного господарського суду
1120.4,Голова Апеляційного суду України
1120.4,Голова Верховного суду
1120.4,Голова Вищого адміністративного суду України
